Number of digits (n),Simple Multiplication,Karatsuba
1,82,5
2,249,137
3,507,349
4,853,493
5,1286,917
6,1807,1337
7,2412,1157
8,3104,1345
9,3885,2421
10,4747,2493
11,5697,2945
12,6734,3829
13,7854,4829
14,9062,4645
15,10355,5461
16,11738,6945
17,13202,6009
18,14757,7249
19,16393,8121
20,18117,7997
21,19926,9261
22,21821,9101
23,23805,10849
24,25870,12153
25,28024,12269
26,30264,14797
27,32592,14921
28,35004,15093
29,37502,16585
30,40085,17161
31,42756,18681
32,45512,17541
33,48352,18513
34,51282,21161
35,54297,23201
36,57395,22473
37,60583,24701
38,63854,23285
39,67212,26493
40,70658,27321
41,74188,29637
42,77802,30929
43,81504,31169
44,85293,31297
45,89165,31613
46,93125,34753
47,97171,34609
48,101303,36877
49,105523,40017
50,109825,38089
51,114221,40557
52,118697,43245
53,123252,43537
54,127903,43665
55,132634,45461
56,137456,48737
57,142367,49733
58,147356,54669
59,152432,50213
60,157598,51853
61,162848,54381
62,168184,57553
63,173603,56897
64,179112,60557
65,184708,60937
66,190385,61957
67,196151,61405
68,202008,63921
69,207943,64945
70,213968,65213
71,220071,67641
72,226271,69429
73,232559,72325
74,238924,73269
75,245375,77317
76,251915,75421
77,258540,79437
78,265257,82725
79,272052,80693
80,278930,82169
81,285905,82541
82,292959,85013
83,300108,86221
84,307334,88705
85,314639,89617
86,322047,92645
87,329535,95105
88,337107,93621
89,344761,98681
90,352503,100861
91,360334,100557
92,368250,103781
93,376256,106625
94,384343,108233
95,392521,110513
96,400780,115169
97,409124,112945
98,417553,118413
99,426071,113925
100,434680,122693
101,443370,121977
102,452143,119997
103,461006,127109
104,469951,127757
105,478985,128221
106,488108,130005
107,497313,134113
108,506605,138721
109,515983,139105
110,525452,138693
111,534999,137729
112,544630,144329
113,554360,146845
114,564160,151217
115,574055,153841
116,584034,152429
117,594100,150609
118,604258,157217
119,614489,153081
120,624821,159773
121,635224,165209
122,645721,170341
123,656304,172389
124,666972,174033
125,677723,173845
126,688566,175101
127,699494,176753
128,710504,176685
129,721604,182661
130,732787,183481
131,744057,181161
132,755410,191557
133,766856,190037
134,778383,191813
135,790002,190833
136,801697,195649
137,813481,198677
138,825351,199109
139,837308,199209
140,849353,204905
141,861488,207321
142,873704,212001
143,886006,211757
144,898393,211325
145,910860,219097
146,923426,220313
147,936072,224453
148,948807,223521
149,961622,224241
150,974529,226857
151,987517,227669
152,1000593,233813
153,1013756,237137
154,1027002,234797
155,1040336,240093
156,1053754,235133
157,1067264,244193
158,1080855,240425
159,1094529,246825
160,1108297,250893
161,1122145,254089
162,1136081,256221
163,1150105,255813
164,1164212,258169
165,1178405,257369
166,1192680,264425
167,1207054,263605
168,1221507,269809
169,1236046,265245
170,1250668,272749
171,1265378,272257
172,1280176,278369
173,1295054,280733
174,1310024,283345
175,1325074,281757
176,1340216,293205
177,1355444,291509
178,1370757,289977
179,1386152,297345
180,1401633,300617
181,1417208,301717
182,1432864,305589
183,1448603,307429
184,1464433,310809
185,1480346,315545
186,1496348,315305
187,1512434,324161
188,1528604,325513
189,1544862,325081
190,1561204,332445
191,1577634,330861
192,1594152,339829
193,1610752,342337
194,1627443,341913
195,1644218,350137
196,1661077,350305
197,1678018,343389
198,1695055,360129
199,1712172,359285
200,1729378,359421
201,1746664,359389
202,1764040,370401
203,1781505,369401
204,1799054,371997
205,1816684,378865
206,1834409,376065
207,1852214,377561
208,1870106,392353
209,1888083,394913
210,1906146,392653
211,1924297,396049
212,1942533,400489
213,1960854,401381
214,1979264,406633
215,1997758,408493
216,2016334,417141
217,2035004,411137
218,2053756,416685
219,2072593,412269
220,2091518,426081
221,2110525,424749
222,2129620,430681
223,2148800,436001
224,2168074,434773
225,2187422,438329
226,2206871,440393
227,2226395,442145
228,2246003,461181
229,2265701,454305
230,2285483,450525
231,2305358,467493
232,2325316,461373
233,2345353,464929
234,2365479,469405
235,2385698,474965
236,2405999,485045
237,2426387,480097
238,2446850,484013
239,2467414,487393
240,2488051,503733
241,2508789,495881
242,2529603,497445
243,2550507,492277
244,2571495,499741
245,2592567,502953
246,2613726,510645
247,2634969,511081
248,2656302,518005
249,2677716,523981
250,2699232,529093
251,2720818,524445
252,2742494,528433
253,2764252,536225
254,2786100,536761
255,2808035,538833
256,2830054,543193
257,2852164,544881
258,2874355,549273
259,2896631,555933
260,2918996,555993
261,2941442,561841
262,2963983,562665
263,2986599,572153
264,3009308,562469
265,3032109,576261
266,3054985,571753
267,3077955,578381
268,3101006,580549
269,3124143,585605
270,3147368,588221
271,3170676,596813
272,3194067,593437
273,3217556,602653
274,3241122,602169
275,3264776,610193
276,3288514,609665
277,3312344,607521
278,3336254,611113
279,3360248,616693
280,3384333,621961
281,3408508,620677
282,3432764,625209
283,3457102,626425
284,3481533,632833
285,3506048,642849
286,3530643,643657
287,3555330,642897
288,3580100,650745
289,3604960,649701
290,3629905,649545
291,3654937,653149
292,3680054,655273
293,3705253,664037
294,3730542,659457
295,3755916,669721
296,3781379,670385
297,3806924,677093
298,3832550,685117
299,3858271,687801
300,3884075,687085
301,3909970,699485
302,3935942,688441
303,3962006,687269
304,3988154,697785
305,4014387,696345
306,4040712,714521
307,4067113,715673
308,4093602,718141
309,4120186,719141
310,4146842,726053
311,4173599,723345
312,4200433,725793
313,4227356,735685
314,4254360,746405
315,4281458,740721
316,4308638,736737
317,4335901,740497
318,4363252,749633
319,4390693,748953
320,4418217,762545
321,4445828,762609
322,4473516,759229
323,4501306,769233
324,4529171,767981
325,4557127,783725
326,4585161,778673
327,4613295,781337
328,4641501,789169
329,4669802,791793
330,4698182,785677
331,4726653,795797
332,4755212,798457
333,4783854,799233
334,4812586,802713
335,4841398,804097
336,4870297,809161
337,4899279,816517
338,4928353,808613
339,4957513,819813
340,4986755,820469
341,5016085,827405
342,5045505,829729
343,5075001,829681
344,5104586,838753
345,5134272,833225
346,5164024,842985
347,5193874,846989
348,5223806,849337
349,5253824,843297
350,5283928,868953
351,5314117,869389
352,5344394,873765
353,5374755,874237
354,5405200,878601
355,5435741,884597
356,5466358,884925
357,5497064,899441
358,5527851,891133
359,5558729,899129
360,5589699,903081
361,5620746,924645
362,5651885,919905
363,5683104,923029
364,5714413,921481
365,5745807,931853
366,5777288,923521
367,5808854,929297
368,5840499,941189
369,5872246,956161
370,5904064,944609
371,5935976,961009
372,5967975,953689
373,6000053,969645
374,6032223,975605
375,6064477,986381
376,6096813,978125
377,6129240,977481
378,6161754,982821
379,6194352,1005137
380,6227040,1002605
381,6259806,1007817
382,6292665,1014269
383,6325600,1006845
384,6358636,1030497
385,6391749,1027785
386,6424945,1021525
387,6458233,1033829
388,6491601,1033213
389,6525063,1039717
390,6558611,1050341
391,6592237,1045217
392,6625948,1055945
393,6659756,1048325
394,6693644,1059425
395,6727615,1066797
396,6761678,1064157
397,6795825,1076601
398,6830054,1083801
399,6864370,1096873
400,6898777,1103749
401,6933271,1109925
402,6967845,1100217
403,7002506,1097597
404,7037251,1114729
405,7072081,1125073
406,7107002,1103797
407,7142014,1118789
408,7177104,1123073
409,7212281,1131117
410,7247548,1138621
411,7282896,1141001
412,7318334,1142141
413,7353857,1136585
414,7389460,1159409
415,7425158,1156821
416,7460935,1158145
417,7496805,1171705
418,7532752,1174285
419,7568786,1174673
420,7604919,1170885
421,7641124,1172797
422,7677427,1189917
423,7713802,1191637
424,7750271,1195017
425,7786826,1207421
426,7823464,1203477
427,7860197,1218213
428,7897003,1211037
429,7933900,1222573
430,7970886,1218081
431,8007956,1227313
432,8045114,1230765
433,8082348,1247485
434,8119683,1237753
435,8157101,1250341
436,8194598,1257517
437,8232185,1250725
438,8269852,1272673
439,8307611,1271425
440,8345456,1287821
441,8383386,1265425
442,8421400,1295809
443,8459508,1291673
444,8497694,1297413
445,8535965,1321745
446,8574327,1311453
447,8612774,1324589
448,8651302,1325669
449,8689922,1323281
450,8728624,1327057
451,8767414,1328773
452,8806292,1348421
453,8845252,1341181
454,8884304,1341033
455,8923436,1364525
456,8962656,1354349
457,9001957,1362037
458,9041356,1379649
459,9080829,1385053
460,9120396,1391589
461,9160047,1386425
462,9199781,1393457
463,9239608,1390105
464,9279516,1417545
465,9319508,1395181
466,9359585,1394701
467,9399753,1424573
468,9440001,1411733
469,9480344,1414217
470,9520767,1430801
471,9561272,1437973
472,9601873,1434241
473,9642551,1447297
474,9683319,1451473
475,9724173,1448969
476,9765114,1457001
477,9806142,1457945
478,9847257,1471137
479,9888455,1476429
480,9929737,1467137
481,9971103,1485177
482,10012562,1486117
483,10054107,1488205
484,10095732,1489269
485,10137450,1505049
486,10179248,1518889
487,10221130,1508457
488,10263105,1503457
489,10305164,1518601
490,10347312,1529441
491,10389537,1527529
492,10431853,1523461
493,10474253,1531213
494,10516740,1539661
495,10559317,1545769
496,10601978,1552241
497,10644725,1564357
498,10687553,1565897
499,10730473,1582149
500,10773479,1583277
501,10816564,1582141
502,10859747,1577757
503,10903011,1575653
504,10946350,1596481
505,10989793,1593765
506,11033311,1597341
507,11076920,1607257
508,11120603,1594621
509,11164387,1601517
510,11208247,1623541
511,11252203,1619357
512,11296237,1622741
513,11340357,1626833
514,11384547,1640629
515,11428850,1635497
516,11473237,1647713
517,11517703,1648293
518,11562262,1652233
519,11606899,1671165
520,11651614,1663973
521,11696429,1673281
522,11741320,1693881
523,11786302,1693449
524,11831375,1685593
525,11876529,1682013
526,11921764,1706285
527,11967095,1697357
528,12012509,1722929
529,12058005,1724261
530,12103587,1712673
531,12149261,1718261
532,12195011,1721389
533,12240859,1726513
534,12286783,1734641
535,12332801,1734569
536,12378894,1738389
537,12425087,1747185
538,12471352,1754425
539,12517702,1763733
540,12564157,1766653
541,12610680,1768225
542,12657307,1757629
543,12703996,1789917
544,12750797,1790177
545,12797669,1794053
546,12844631,1791633
547,12891675,1804285
548,12938812,1808633
549,12986021,1812821
550,13033331,1818197
551,13080712,1820685
552,13128193,1815217
553,13175753,1830801
554,13223400,1833069
555,13271139,1826689
556,13318966,1846757
557,13366856,1843137
558,13414857,1850157
559,13462939,1853545
560,13511097,1859449
561,13559345,1856417
562,13607681,1882353
563,13656102,1876941
564,13704608,1886449
565,13753213,1883145
566,13801887,1899473
567,13850651,1907037
568,13899505,1912377
569,13948443,1910837
570,13997460,1934057
571,14046572,1921429
572,14095773,1921977
573,14145062,1941665
574,14194423,1937281
575,14243874,1940061
576,14293417,1934125
577,14343045,1943969
578,14392753,1961217
579,14442553,1961249
580,14492435,1966837
581,14542411,1967889
582,14592469,1978869
583,14642602,1984469
584,14692830,1986245
585,14743147,1999357
586,14793554,1987001
587,14844037,1999677
588,14894605,2026213
589,14945261,2010345
590,14996007,2019937
591,15046834,2013577
592,15097753,2026029
593,15148753,2035885
594,15199845,2037425
595,15251015,2037925
596,15302277,2046641
597,15353621,2058429
598,15405062,2058249
599,15456562,2064025
600,15508177,2079113
601,15559864,2061845
602,15611645,2068801
603,15663498,2078957
604,15715453,2079225
605,15767476,2094573
606,15819607,2085021
607,15871817,2106853
608,15924094,2107809
609,15976478,2118213
610,16028940,2126649
611,16081492,2124821
612,16134135,2126817
613,16186852,2144289
614,16239652,2134029
615,16292564,2148653
616,16345532,2153833
617,16398596,2149961
618,16451753,2162233
619,16504997,2174509
620,16558323,2173293
621,16611729,2180465
622,16665229,2163249
623,16718805,2187965
624,16772466,2207001
625,16826233,2206261
626,16880067,2198805
627,16933999,2204869
628,16988002,2208253
629,17042101,2226657
630,17096293,2222077
631,17150555,2221769
632,17204915,2230133
633,17259359,2244717
634,17313880,2245261
635,17368490,2236245
636,17423186,2260701
637,17477992,2257489
638,17532852,2254761
639,17587813,2272445
640,17642864,2267445
641,17697982,2275821
642,17753205,2286301
643,17808511,2287145
644,17863902,2293361
645,17919373,2293529
646,17974925,2296621
647,18030577,2307429
648,18086305,2320857
649,18142112,2317929
650,18198024,2332541
651,18254006,2315129
652,18310093,2334533
653,18366264,2345569
654,18422492,2341093
655,18478837,2339785
656,18535252,2351641
657,18591763,2360981
658,18648364,2358613
659,18705030,2375525
660,18761803,2358885
661,18818658,2382249
662,18875587,2381013
663,18932603,2386045
664,18989706,2387105
665,19046898,2400557
666,19104185,2389121
667,19161551,2403569
668,19219007,2418717
669,19276545,2411021
670,19334155,2424449
671,19391875,2429469
672,19449666,2443009
673,19507548,2423457
674,19565530,2442657
675,19623583,2446561
676,19681714,2450009
677,19739936,2454357
678,19798253,2462433
679,19856660,2467545
680,19915134,2466677
681,19973709,2474553
682,20032367,2482273
683,20091100,2487141
684,20149935,2477985
685,20208847,2498541
686,20267853,2500069
687,20326933,2498665
688,20386109,2509217
689,20445372,2521525
690,20504713,2520001
691,20564139,2560945
692,20623659,2518149
693,20683252,2551729
694,20742940,2542249
695,20802708,2548361
696,20862577,2565365
697,20922520,2589121
698,20982559,2592645
699,21042677,2591633
700,21102865,2584153
701,21163169,2609477
702,21223545,2608669
703,21284005,2591657
704,21344560,2615557
705,21405191,2629981
706,21465904,2641157
707,21526710,2624725
708,21587612,2639457
709,21648580,2647101
710,21709640,2682125
711,21770799,2654193
712,21832033,2680233
713,21893353,2674653
714,21954767,2689941
715,22016254,2691501
716,22077841,2707513
717,22139507,2728777
718,22201253,2719205
719,22263088,2738565
720,22325021,2725821
721,22387031,2742277
722,22449120,2732325
723,22511305,2747053
724,22573577,2756409
725,22635918,2754481
726,22698365,2761361
727,22760891,2772493
728,22823505,2772973
729,22886203,2787349
730,22948978,2781749
731,23011854,2818917
732,23074811,2803529
733,23137852,2834313
734,23200978,2830481
735,23264203,2828957
736,23327508,2850057
737,23390880,2847705
738,23454353,2857993
739,23517915,2877153
740,23581559,2872541
741,23645280,2882517
742,23709101,2886953
743,23773011,2893645
744,23836990,2901049
745,23901058,2925593
746,23965229,2911649
747,24029468,2930633
748,24093794,2928321
749,24158220,2923909
750,24222727,2933757
751,24287319,2944677
752,24352000,2960361
753,24416762,2983261
754,24481601,2965545
755,24546534,2990249
756,24611552,2970417
757,24676656,3000893
758,24741852,2997069
759,24807131,3003869
760,24872490,3013241
761,24937953,3019733
762,25003490,3021965
763,25069109,3037165
764,25134820,3030985
765,25200598,3036029
766,25266491,3056213
767,25332444,3076861
768,25398505,3063829
769,25464643,3063581
770,25530867,3079813
771,25597172,3101909
772,25663573,3102561
773,25730052,3095561
774,25796623,3110477
775,25863283,3109217
776,25930012,3118605
777,25996849,3145385
778,26063757,3145333
779,26130757,3150821
780,26197835,3152581
781,26265002,3154445
782,26332265,3144193
783,26399605,3158669
784,26467033,3167981
785,26534540,3190009
786,26602144,3200917
787,26669839,3213161
788,26737609,3204325
789,26805461,3214833
790,26873400,3212433
791,26941443,3226157
792,27009559,3237437
793,27077761,3231877
794,27146027,3258969
795,27214412,3233401
796,27282877,3257281
797,27351427,3273589
798,27420059,3270513
799,27488773,3265817
800,27557570,3261721
801,27626469,3291269
802,27695447,3288653
803,27764502,3287153
804,27833648,3308605
805,27902889,3312481
806,27972204,3321169
807,28041604,3326101
808,28111098,3328577
809,28180687,3338841
810,28250345,3354309
811,28320094,3358405
812,28389931,3377737
813,28459850,3380325
814,28529863,3390901
815,28599959,3396153
816,28670141,3402545
817,28740400,3402025
818,28810762,3420533
819,28881197,3421821
820,28951715,3417661
821,29022327,3423245
822,29093021,3422521
823,29163805,3453297
824,29234673,3434249
825,29305634,3441645
826,29376664,3478893
827,29447800,3473213
828,29519000,3474057
829,29590305,3471625
830,29661694,3478757
831,29733152,3505905
832,29804706,3510457
833,29876359,3511481
834,29948063,3523821
835,30019904,3542889
836,30091790,3546969
837,30163790,3523985
838,30235859,3560481
839,30308011,3549537
840,30380255,3545309
841,30452585,3561705
842,30525010,3567125
843,30597498,3573477
844,30670088,3569025
845,30742774,3587801
846,30815524,3579465
847,30888379,3602357
848,30961307,3578917
849,31034312,3626909
850,31107427,3611561
851,31180612,3648041
852,31253882,3627585
853,31327262,3642193
854,31400710,3629265
855,31474230,3644997
856,31547848,3644933
857,31621552,3649309
858,31695348,3654145
859,31769233,3700249
860,31843195,3685629
861,31917244,3686689
862,31991378,3696429
863,32065605,3708349
864,32139904,3710201
865,32214309,3718897
866,32288789,3750293
867,32363359,3729497
868,32437994,3743681
869,32512743,3768669
870,32587562,3792737
871,32662475,3780229
872,32737468,3777737
873,32812555,3800217
874,32887716,3811485
875,32962975,3807709
876,33038317,3824097
877,33113752,3816789
878,33189259,3819349
879,33264853,3832457
880,33340535,3843985
881,33416304,3879357
882,33492174,3871993
883,33568103,3888493
884,33644128,3876101
885,33720251,3918701
886,33796445,3907253
887,33872737,3906633
888,33949100,3931709
889,34025565,3892409
890,34102105,3940517
891,34178739,3951585
892,34255457,3928233
893,34332255,3926105
894,34409141,3927793
895,34486110,3968445
896,34563177,4005981
897,34640325,3983649
898,34717559,4016997
899,34794868,4007609
900,34872286,3998145
901,34949774,4020325
902,35027336,4012665
903,35104998,4019237
904,35182753,4027285
905,35260587,4044001
906,35338505,4037681
907,35416502,4074397
908,35494602,4040021
909,35572778,4094381
910,35651040,4071045
911,35729390,4088313
912,35807831,4087737
913,35886350,4065933
914,35964951,4073177
915,36043652,4104041
916,36122444,4121105
917,36201300,4134097
918,36280264,4141205
919,36359282,4135293
920,36438423,4177889
921,36517622,4160965
922,36596925,4166909
923,36676305,4170017
924,36755770,4171213
925,36835322,4172585
926,36914962,4179425
927,36994693,4209393
928,37074509,4208813
929,37154414,4228809
930,37234389,4226177
931,37314455,4236973
932,37394617,4247717
933,37474861,4227101
934,37555187,4257193
935,37635592,4259541
936,37716086,4273653
937,37796676,4248685
938,37877359,4244481
939,37958115,4274313
940,38038948,4289029
941,38119891,4300017
942,38200907,4304573
943,38282003,4300233
944,38363195,4316677
945,38444471,4313133
946,38525825,4303461
947,38607275,4356981
948,38688800,4336617
949,38770425,4362805
950,38852131,4350365
951,38933919,4395745
952,39015795,4376601
953,39097753,4408181
954,39179798,4392925
955,39261932,4403545
956,39344154,4412089
957,39426451,4426105
958,39508855,4422445
959,39591333,4429129
960,39673895,4441457
961,39756545,4456009
962,39839285,4460973
963,39922107,4465457
964,40005015,4500901
965,40088005,4495773
966,40171093,4486977
967,40254257,4503757
968,40337507,4520825
969,40420849,4521353
970,40504274,4505733
971,40587775,4528421
972,40671373,4521813
973,40755057,4552909
974,40838821,4550805
975,40922681,4560029
976,41006619,4573973
977,41090636,4572589
978,41174750,4578253
979,41258950,4596245
980,41343232,4577113
981,41427611,4606041
982,41512063,4587177
983,41596602,4595425
984,41681222,4606781
985,41765949,4634481
986,41850751,4653789
987,41935626,4625393
988,42020605,4638937
989,42105663,4646369
990,42190805,4646885
991,42276032,4659697
992,42361353,4648421
993,42446750,4697053
994,42532243,4687437
995,42617817,4714209
996,42703477,4666953
997,42789221,4691685
998,42875057,4728669
999,42960961,4734413
1000,43046983,4720985
1001,43133071,4718837
1002,43219241,4746049
1003,43305507,4712237
1004,43391855,4728213
1005,43478291,4739533
1006,43564805,4766605
1007,43651419,4785373
1008,43738105,4790797
1009,43824890,4793301
1010,43911749,4806241
1011,43998699,4801457
1012,44085730,4808477
1013,44172862,4800445
1014,44260063,4814929
1015,44347354,4832153
1016,44434739,4829913
1017,44522200,4860685
1018,44609761,4870145
1019,44697390,4872325
1020,44785115,4856641
1021,44872931,4856673
1022,44960820,4888697
1023,45048807,4885081
1024,45136873,4887961
1025,45225036,4915845
1026,45313267,4918813
1027,45401604,4915185
1028,45490011,4936241
1029,45578500,4939693
1030,45667089,4943133
1031,45755750,4945537
1032,45844508,4962861
1033,45933357,4988565
1034,46022280,4989085
1035,46111295,4997865
1036,46200395,4983281
1037,46289585,4995353
1038,46378848,5020025
1039,46468217,5021525
1040,46557659,5040413
1041,46647193,5053393
1042,46736805,5036493
1043,46826503,5059401
1044,46916290,5046853
1045,47006171,5062949
1046,47096122,5072557
1047,47186168,5058953
1048,47276303,5094317
1049,47366532,5084601
1050,47456824,5094573
1051,47547206,5106105
1052,47637697,5089089
1053,47728253,5119437
1054,47818909,5126673
1055,47909635,5154245
1056,48000457,5110221
1057,48091365,5150041
1058,48182353,5162525
1059,48273437,5162041
1060,48364597,5176305
1061,48455847,5163409
1062,48547187,5159829
1063,48638607,5182237
1064,48730110,5204513
1065,48821709,5179969
1066,48913382,5211677
1067,49005150,5205229
1068,49097009,5237833
1069,49188943,5230345
1070,49280969,5234509
1071,49373083,5221553
1072,49465270,5271321
1073,49557555,5243261
1074,49649909,5282845
1075,49742361,5274629
1076,49834921,5260077
1077,49927532,5276537
1078,50020255,5297889
1079,50113050,5295609
1080,50205934,5290353
1081,50298904,5299049
1082,50391958,5337793
1083,50485100,5317457
1084,50578331,5316809
1085,50671640,5346889
1086,50765045,5332073
1087,50858533,5378249
1088,50952118,5360805
1089,51045761,5376353
1090,51139507,5375533
1091,51233337,5386169
1092,51327260,5384985
1093,51421253,5404265
1094,51515350,5425965
1095,51609515,5452293
1096,51703779,5429093
1097,51798118,5431837
1098,51892559,5434473
1099,51987077,5435077
1100,52081681,5441741
1101,52176374,5476341
1102,52271147,5467553
1103,52366002,5460577
1104,52460944,5502593
1105,52555987,5484337
1106,52651104,5478073
1107,52746315,5520661
1108,52841596,5543189
1109,52936989,5508201
1110,53032449,5520121
1111,53128001,5528185
1112,53223639,5549677
1113,53319352,5532689
1114,53415167,5553529
1115,53511063,5565741
1116,53607037,5584593
1117,53703096,5602141
1118,53799250,5608817
1119,53895491,5582469
1120,53991810,5576989
1121,54088222,5596693
1122,54184720,5619693
1123,54281305,5624601
1124,54377970,5638009
1125,54474729,5630181
1126,54571576,5624409
1127,54668500,5644569
1128,54765503,5662777
1129,54862600,5694505
1130,54959789,5682169
1131,55057057,5686621
1132,55154408,5685669
1133,55251853,5685629
1134,55349387,5701853
1135,55446986,5710765
1136,55544695,5724485
1137,55642474,5722601
1138,55740357,5727809
1139,55838311,5739345
1140,55936352,5770881
1141,56034480,5756597
1142,56132703,5761245
1143,56231002,5780809
1144,56329397,5784185
1145,56427873,5792689
1146,56526420,5786337
1147,56625073,5801513
1148,56723811,5796905
1149,56822620,5812497
1150,56921527,5830557
1151,57020517,5864845
1152,57119595,5842881
1153,57218752,5869645
1154,57318001,5856513
1155,57417328,5879693
1156,57516754,5891517
1157,57616269,5865317
1158,57715861,5882305
1159,57815528,5898985
1160,57915295,5924661
1161,58015154,5930573
1162,58115089,5940885
1163,58215105,5930837
