Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
1,5,0,2,0,0,1,0,0,1,1
2,137,44,19,10,4,13,13,6,17,11
3,349,117,48,25,10,31,36,15,41,26
4,493,167,68,35,14,43,52,21,57,36
5,917,313,126,65,26,79,98,39,105,66
6,1337,457,183,95,38,115,143,57,153,96
7,1157,400,162,80,32,97,128,48,129,81
8,1345,461,185,95,38,115,145,57,153,96
9,2421,834,334,170,68,205,264,102,273,171
10,2493,870,352,170,68,205,282,102,273,171
11,2945,1019,409,205,82,247,325,123,329,206
12,3829,1329,534,265,106,319,426,159,425,266
13,4829,1675,672,335,134,403,536,201,537,336
14,4645,1616,650,320,128,385,520,192,513,321
15,5461,1903,766,375,150,451,614,225,601,376
16,6945,2414,969,480,192,577,775,288,769,481
17,6009,2100,847,410,164,493,681,246,657,411
18,7249,2533,1021,495,198,595,821,297,793,496
19,8121,2837,1143,555,222,667,919,333,889,556
20,7997,2797,1128,545,218,655,908,327,873,546
21,9261,3231,1300,635,254,763,1044,381,1017,636
22,9101,3184,1284,620,248,745,1034,372,993,621
23,10849,3783,1521,745,298,895,1221,447,1193,746
24,12153,4237,1703,835,334,1003,1367,501,1337,836
25,12269,4295,1732,835,334,1003,1396,501,1337,836
26,14797,5163,2076,1015,406,1219,1668,609,1625,1016
27,14921,5225,2107,1015,406,1219,1699,609,1625,1016
28,15093,5278,2126,1030,412,1237,1712,618,1649,1031
29,16585,5804,2339,1130,452,1357,1885,678,1809,1131
30,17161,6004,2419,1170,468,1405,1949,702,1873,1171
31,18681,6533,2631,1275,510,1531,2119,765,2041,1276
32,17541,6139,2474,1195,478,1435,1994,717,1913,1196
33,18513,6493,2621,1255,502,1507,2117,753,2009,1256
34,21161,7399,2979,1445,578,1735,2399,867,2313,1446
35,23201,8111,3265,1585,634,1903,2629,951,2537,1586
36,22473,7879,3179,1525,610,1831,2567,915,2441,1526
37,24701,8641,3480,1685,674,2023,2804,1011,2697,1686
38,23285,8175,3302,1575,630,1891,2670,945,2521,1576
39,26493,9306,3760,1790,716,2149,3042,1074,2865,1791
40,27321,9588,3871,1850,740,2221,3129,1110,2961,1851
41,29637,10383,4186,2015,806,2419,3378,1209,3225,2016
42,30929,10820,4357,2110,844,2533,3511,1266,3377,2111
43,31169,10918,4401,2120,848,2545,3551,1272,3393,2121
44,31297,10993,4441,2115,846,2539,3593,1269,3385,2116
45,31613,11107,4488,2135,854,2563,3632,1281,3417,2136
46,34753,12193,4921,2355,942,2827,3977,1413,3769,2356
47,34609,12121,4885,2355,942,2827,3941,1413,3769,2356
48,36877,12947,5228,2495,998,2995,4228,1497,3993,2496
49,40017,14033,5661,2715,1086,3259,4573,1629,4345,2716
50,38089,13366,5395,2580,1032,3097,4361,1548,4129,2581
51,40557,14237,5748,2745,1098,3295,4648,1647,4393,2746
52,43245,15163,6116,2935,1174,3523,4940,1761,4697,2936
53,43537,15265,6157,2955,1182,3547,4973,1773,4729,2956
54,43665,15340,6197,2950,1180,3541,5015,1770,4721,2951
55,45461,15952,6438,3080,1232,3697,5204,1848,4929,3081
56,48737,17095,6897,3305,1322,3967,5573,1983,5289,3306
57,49733,17450,7042,3370,1348,4045,5692,2022,5393,3371
58,54669,19203,7756,3695,1478,4435,6276,2217,5913,3696
59,50213,17635,7122,3395,1358,4075,5762,2037,5433,3396
60,51853,18235,7372,3495,1398,4195,5972,2097,5593,3496
61,54381,19081,7700,3685,1474,4423,6224,2211,5897,3686
62,57553,20194,8149,3900,1560,4681,6587,2340,6241,3901
63,56897,19976,8065,3850,1540,4621,6523,2310,6161,3851
64,60557,21267,8588,4095,1638,4915,6948,2457,6553,4096
65,60937,21413,8651,4115,1646,4939,7003,2469,6585,4116
66,61957,21758,8786,4190,1676,5029,7108,2514,6705,4191
