n,TotalOps,Assignments,ArrayLookups,Comparisons,Arithmetic,MethodCalls,Returns
1,82,27,13,15,25,1,1
2,249,77,54,37,79,1,1
3,507,154,120,67,163,1,1
4,853,257,212,105,276,1,1
5,1286,387,327,151,418,1,1
6,1807,543,468,205,588,1,1
7,2412,725,631,267,786,1,1
8,3104,933,819,337,1012,1,1
9,3885,1168,1032,415,1267,1,1
10,4747,1427,1268,501,1548,1,1
11,5697,1713,1528,595,1858,1,1
12,6734,2025,1812,697,2196,1,1
13,7854,2363,2119,807,2562,1,1
14,9062,2727,2451,925,2956,1,1
15,10355,3117,2807,1051,3377,1,1
16,11738,3533,3188,1185,3828,1,1
17,13202,3975,3591,1327,4306,1,1
18,14757,4444,4020,1477,4813,1,1
19,16393,4937,4472,1635,5346,1,1
20,18117,5457,4948,1801,5908,1,1
21,19926,6003,5447,1975,6498,1,1
22,21821,6575,5971,2157,7115,1,1
23,23805,7173,6520,2347,7762,1,1
24,25870,7797,7091,2545,8435,1,1
25,28024,8447,7687,2751,9137,1,1
26,30264,9123,8307,2965,9867,1,1
27,32592,9825,8951,3187,10626,1,1
28,35004,10553,9619,3417,11412,1,1
29,37502,11307,10311,3655,12225,1,1
30,40085,12087,11027,3901,13067,1,1
31,42756,12893,11767,4155,13938,1,1
32,45512,13725,12531,4417,14836,1,1
33,48352,14583,13319,4687,15761,1,1
34,51282,15467,14131,4965,16716,1,1
35,54297,16377,14968,5251,17698,1,1
36,57395,17313,15827,5545,18707,1,1
37,60583,18275,16712,5847,19746,1,1
38,63854,19263,17619,6157,20812,1,1
39,67212,20277,18551,6475,21905,1,1
40,70658,21318,19508,6801,23029,1,1
41,74188,22384,20488,7135,24179,1,1
42,77802,23475,21491,7477,25356,1,1
43,81504,24593,22519,7827,26562,1,1
44,85293,25737,23572,8185,27796,1,1
45,89165,26907,24647,8551,29057,1,1
46,93125,28103,25747,8925,30347,1,1
47,97171,29325,26871,9307,31665,1,1
48,101303,30573,28019,9697,33011,1,1
49,105523,31847,29192,10095,34386,1,1
50,109825,33147,30387,10501,35787,1,1
51,114221,34474,31609,10915,37220,1,1
52,118697,35826,32853,11337,38678,1,1
53,123252,37203,34119,11767,40161,1,1
54,127903,38607,35412,12205,41676,1,1
55,132634,40037,36727,12651,43217,1,1
56,137456,41493,38067,13105,44788,1,1
57,142367,42976,39433,13567,46388,1,1
58,147356,44484,40820,14037,48013,1,1
59,152432,46017,42231,14515,49666,1,1
60,157598,47577,43668,15001,51348,1,1
61,162848,49163,45128,15495,53058,1,1
62,168184,50776,46612,15997,54797,1,1
63,173603,52413,48119,16507,56561,1,1
64,179112,54077,49651,17025,58356,1,1
65,184708,55768,51208,17551,60179,1,1
66,190385,57483,52787,18085,62027,1,1
67,196151,59225,54391,18627,63905,1,1
68,202008,60994,56021,19177,65813,1,1
69,207943,62787,57672,19735,67746,1,1
70,213968,64607,59348,20301,69708,1,1
71,220071,66452,61046,20875,71696,1,1
72,226271,68325,62771,21457,73715,1,1
73,232559,70224,64521,22047,75764,1,1
74,238924,72148,66292,22645,77837,1,1
75,245375,74097,68087,23251,79937,1,1
76,251915,76073,69907,23865,82067,1,1
77,258540,78075,71751,24487,84225,1,1
78,265257,80104,73620,25117,86413,1,1
79,272052,82157,75511,25755,88626,1,1
80,278930,84236,77425,26401,90865,1,1
81,285905,86343,79367,27055,93137,1,1
82,292959,88474,81330,27717,95434,1,1
83,300108,90634,83321,28387,97764,1,1
84,307334,92818,85332,29065,100117,1,1
85,314639,95026,87365,29751,102495,1,1
86,322047,97263,89428,30445,104908,1,1
87,329535,99526,91512,31147,107347,1,1
88,337107,101814,93620,31857,109813,1,1
89,344761,104127,95751,32575,112305,1,1
90,352503,106466,97906,33301,114826,1,1
91,360334,108833,100087,34035,117377,1,1
92,368250,111225,102291,34777,119955,1,1
93,376256,113644,104520,35527,122563,1,1
94,384343,116087,106772,36285,125196,1,1
95,392521,118558,109049,37051,127860,1,1
96,400780,121054,111349,37825,130550,1,1
97,409124,123576,113672,38607,133267,1,1
98,417553,126123,116019,39397,136011,1,1
99,426071,128697,118391,40195,138785,1,1
100,434680,131298,120789,41001,141590,1,1
101,443370,133924,123209,41815,144419,1,1
102,452143,136575,125652,42637,147276,1,1
103,461006,139254,128120,43467,150163,1,1
104,469951,141957,130611,44305,153075,1,1
105,478985,144687,133127,45151,156017,1,1
106,488108,147443,135668,46005,158988,1,1
107,497313,150225,138232,46867,161986,1,1
108,506605,153033,140820,47737,165012,1,1
109,515983,155867,143432,48615,168066,1,1
110,525452,158728,146069,49501,171150,1,1
111,534999,161614,148728,50395,174259,1,1
112,544630,164525,151411,51297,177395,1,1
113,554360,167464,154121,52207,180564,1,1
114,564160,170427,156851,53125,183755,1,1
115,574055,173417,159607,54051,186977,1,1
116,584034,176433,162387,54985,190227,1,1
117,594100,179475,165191,55927,193505,1,1
118,604258,182544,168021,56877,196814,1,1
119,614489,185636,170870,57835,200144,1,1
120,624821,188758,173749,58801,203510,1,1
121,635224,191903,176647,59775,206897,1,1
122,645721,195075,179571,60757,210315,1,1
123,656304,198273,182519,61747,213762,1,1
124,666972,201497,185491,62745,217236,1,1
125,677723,204746,188486,63751,220736,1,1
126,688566,208023,191507,64765,224268,1,1
127,699494,211325,194552,65787,227826,1,1
128,710504,214653,197619,66817,231412,1,1
129,721604,218008,200712,67855,235027,1,1
130,732787,221387,203828,68901,238668,1,1
131,744057,224793,206968,69955,242338,1,1
132,755410,228225,210131,71017,246035,1,1
133,766856,231684,213320,72087,249763,1,1
134,778383,235167,216532,73165,253516,1,1
135,790002,238678,219769,74251,257300,1,1
136,801697,242213,223028,75345,261108,1,1
137,813481,245775,226311,76447,264945,1,1
138,825351,249362,229618,77557,268810,1,1
139,837308,252976,232950,78675,272704,1,1
140,849353,256616,236306,79801,276626,1,1
141,861488,260284,239688,80935,280579,1,1
142,873704,263976,243092,82077,284557,1,1
143,886006,267693,246520,83227,288562,1,1
144,898393,271437,249972,84385,292596,1,1
145,910860,275206,253445,85551,296655,1,1
146,923426,279003,256947,86725,300748,1,1
147,936072,282825,260471,87907,304866,1,1
148,948807,286674,264020,89097,309013,1,1
149,961622,290547,267591,90295,313186,1,1
150,974529,294448,271188,91501,317389,1,1
151,987517,298373,274808,92715,321618,1,1
152,1000593,302325,278452,93937,325876,1,1
153,1013756,306304,282120,95167,330163,1,1
154,1027002,310307,285811,96405,334476,1,1
155,1040336,314337,289527,97651,338818,1,1
156,1053754,318393,293267,98905,343187,1,1
157,1067264,322476,297032,100167,347587,1,1
158,1080855,326583,300820,101437,352012,1,1
159,1094529,330716,304630,102715,356464,1,1
160,1108297,334877,308468,104001,360948,1,1
161,1122145,339063,312327,105295,365457,1,1
162,1136081,343275,316211,106597,369995,1,1
163,1150105,347513,320120,107907,374562,1,1
164,1164212,351777,324051,109225,379156,1,1
165,1178405,356067,328007,110551,383777,1,1
166,1192680,360382,331985,111885,388425,1,1
167,1207054,364726,335992,113227,393107,1,1
168,1221507,369094,340020,114577,397813,1,1
169,1236046,373488,344073,115935,402548,1,1
170,1250668,377908,348148,117301,407309,1,1
171,1265378,382353,352248,118675,412098,1,1
172,1280176,386826,356373,120057,416917,1,1
173,1295054,391323,360519,121447,421762,1,1
174,1310024,395848,364692,122845,426637,1,1
175,1325074,400397,368887,124251,431537,1,1
176,1340216,404973,373107,125665,436468,1,1
177,1355444,409576,377352,127087,441427,1,1
178,1370757,414204,381620,128517,446413,1,1
179,1386152,418857,385911,129955,451426,1,1
180,1401633,423536,390226,131401,456466,1,1
181,1417208,428244,394568,132855,461539,1,1
182,1432864,432976,398932,134317,466637,1,1
183,1448603,437733,403319,135787,471761,1,1
184,1464433,442517,407732,137265,476916,1,1
185,1480346,447327,412167,138751,482098,1,1
186,1496348,452163,416628,140245,487308,1,1
187,1512434,457026,421112,141747,492547,1,1
188,1528604,461913,425619,143257,497812,1,1
189,1544862,466827,430151,144775,503106,1,1
190,1561204,471767,434707,146301,508427,1,1
191,1577634,476733,439287,147835,513777,1,1
192,1594152,481725,443891,149377,519156,1,1
